"genre","avg_ms","median_ms"
"Sci Fi & Fantasy",2911783,2923778
"Science Fiction",2625549,2622372
"Drama",2575284,2610188
"TV Shows",2145041,2582009
"Comedy",1585264,1302093
"Metal",309749,284303
"Electronica/Dance",302986,302354
"Heavy Metal",297453,294856
"Classical",293868,273146
"Jazz",291755,270942
"Rock",283910,259631
"Blues",270360,251219
"Alternative",264059,238688
"Reggae",247178,239738
"Soundtrack",244371,260963
"Alternative & Punk",234354,230830
"Latin",232859,230191
"Pop",229034,210252
"World",224924,234736
"R&B/Soul",220067,213240
"Bossa Nova",219590,204956
"Easy Listening",189164,187754
"Hip Hop/Rap",178176,185103
"Opera",174813,174813
"Rock And Roll",134644,141061
